Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Years
5.365,Regular,0.234733477,Seafood,173.4764,Small,Tier 3,Grocery Store,15
7.825,Regular,0.149890395,Frozen Foods,159.0288,High,Tier 3,Supermarket Type1,26
8.27,Regular,0.214125129,Soft Drinks,183.9924,Small,Tier 3,Grocery Store,15
14.85,Low Fat,0.15643727,Baking Goods,142.0812,Small,Tier 3,Grocery Store,15
12.5,Low Fat,0.031097948,Fruits and Vegetables,103.899,Medium,Tier 1,Supermarket Type1,14
5.425,Regular,0.2004264,Baking Goods,88.8514,Small,Tier 1,Grocery Store,28
15.85,Regular,0.110254143,Frozen Foods,37.0506,Medium,Tier 3,Supermarket Type3,28
9.6,Regular,0.02734361,Snack Foods,257.8304,Small,Tier 1,Supermarket Type1,16
4.61,Low Fat,0.123346085,Hard Drinks,172.5396,Small,Tier 2,Supermarket Type1,6
20.25,Non-Edible,0.014237039,Household,145.6418,High,Tier 3,Supermarket Type1,26
17.75,Low Fat,0.058168807,Dairy,249.575,Small,Tier 3,Grocery Store,15
9.0,Low Fat,0.08630486,Snack Foods,168.0816,Medium,Tier 3,Supermarket Type2,4
6.15,Low Fat,0.0463069195,Baking Goods,100.1384,Medium,Tier 3,Supermarket Type3,28
20.5,Regular,0.112316501,Fruits and Vegetables,193.9478,High,Tier 3,Supermarket Type1,26
17.7,Regular,0.23653561,Starchy Foods,184.1924,Small,Tier 1,Grocery Store,28
15.0,Regular,0.026950104,Baking Goods,220.9456,Medium,Tier 3,Supermarket Type2,4
5.175,Low Fat,0.037457098,Canned,83.4224,Medium,Tier 1,Supermarket Type1,14
15.15,Regular,0.066311153,Frozen Foods,145.776,Small,Tier 2,Supermarket Type1,11
10.895,Low Fat,0.059834024,Fruits and Vegetables,133.5284,Small,Tier 3,Grocery Store,15
6.13,Low Fat,0.076855207,Dairy,59.3536,Medium,Tier 1,Supermarket Type1,14
10.8,Low Fat,0.0781195325,Hard Drinks,72.338,Medium,Tier 1,Supermarket Type1,14
5.155,Low Fat,0.08279545,Frozen Foods,245.8776,Medium,Tier 3,Supermarket Type3,28
17.6,Regular,0.039381633,Snack Foods,98.041,Medium,Tier 3,Supermarket Type2,4
7.935,Low Fat,0.017141985,Dairy,50.035,High,Tier 3,Supermarket Type1,26
13.6,Non-Edible,0.010033871,Household,177.937,Medium,Tier 3,Supermarket Type2,4
8.26,Regular,0.032435437,Soft Drinks,124.873,Small,Tier 2,Supermarket Type1,9
6.26,Non-Edible,0.031599715,Household,111.3228,Small,Tier 2,Supermarket Type1,6
20.75,Low Fat,0.108879177,Snack Foods,161.5578,Medium,Tier 1,Supermarket Type1,14
8.18,Non-Edible,0.013156774,Household,140.5154,Small,Tier 2,Supermarket Type1,11
10.195,Low Fat,0.042113173,Snack Foods,42.5428,Medium,Tier 3,Supermarket Type2,4
15.6,Regular,0.104786172,Snack Foods,172.2764,Medium,Tier 3,Supermarket Type3,28
7.67,Non-Edible,0.309390255,Household,33.2216,Small,Tier 3,Grocery Store,15
11.65,Low Fat,0.174049032,Dairy,52.9298,Small,Tier 1,Supermarket Type1,16
13.1,Regular,0.098765906,Frozen Foods,196.3768,Small,Tier 2,Supermarket Type1,9
19.1,Non-Edible,0.067676056,Household,40.8796,Small,Tier 2,Supermarket Type1,6
16.75,Low Fat,0.060495243,Dairy,169.8106,High,Tier 3,Supermarket Type1,26
6.675,Low Fat,0.0419174985,Snack Foods,92.9462,Medium,Tier 3,Supermarket Type2,4
9.3,Regular,0.03362713,Meat,156.1314,Small,Tier 2,Supermarket Type1,6
16.25,Low Fat,0.07813621400000001,Canned,90.2804,Medium,Tier 3,Supermarket Type2,4
6.65,Low Fat,0.053397989,Canned,149.3734,Small,Tier 2,Supermarket Type1,11
5.94,Regular,0.049163321,Breads,186.4556,Small,Tier 3,Grocery Store,15
20.0,Regular,0.104245198,Canned,105.3622,Medium,Tier 1,Supermarket Type1,14
13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,Small,Tier 2,Supermarket Type1,11
5.695,Regular,0.067373081,Breads,258.8988,Medium,Tier 3,Supermarket Type3,28
15.6,Low Fat,0.087646694,Snack Foods,221.5798,High,Tier 3,Supermarket Type1,26
17.6,Low Fat,0.010096684,Snack Foods,160.4552,Small,Tier 2,Supermarket Type1,6
11.0,Regular,0.13341564,Canned,218.7798,Small,Tier 2,Supermarket Type1,11
20.25,Regular,0.018789455,Fruits and Vegetables,222.0772,High,Tier 3,Supermarket Type1,26
6.635,Regular,0.080697998,Frozen Foods,39.8506,Small,Tier 1,Grocery Store,28
10.395,Regular,0.036957777,Meat,230.5352,Small,Tier 2,Supermarket Type1,11
7.365,Low Fat,0.042552205,Fruits and Vegetables,225.172,Small,Tier 2,Supermarket Type1,9
18.85,Low Fat,0.039723999,Snack Foods,41.048,Small,Tier 2,Supermarket Type1,11
16.2,Low Fat,0.058444176,Soft Drinks,73.0696,Small,Tier 1,Grocery Store,28
9.6,Low Fat,0.036109413,Fruits and Vegetables,140.6154,Medium,Tier 3,Supermarket Type3,28
15.1,Regular,0.019965179,Frozen Foods,130.531,Medium,Tier 1,Supermarket Type1,14
20.2,Regular,0.121442754,Snack Foods,94.9752,Medium,Tier 1,Supermarket Type1,14
10.695,Regular,0.127727102,Dairy,121.144,Small,Tier 1,Supermarket Type1,16
12.35,Non-Edible,0.163941937,Household,117.0124,Small,Tier 1,Supermarket Type1,16
11.35,Low Fat,0.030957011,Snack Foods,52.4008,Small,Tier 2,Supermarket Type1,9
17.0,Low Fat,0.136008489,Fruits and Vegetables,171.7106,Small,Tier 2,Supermarket Type1,11
7.05,Low Fat,0.084966021,Snack Foods,111.1912,Small,Tier 1,Supermarket Type1,16
9.695,Low Fat,0.070843019,Hard Drinks,177.7344,Small,Tier 2,Supermarket Type1,6
6.78,Low Fat,0.066608487,Fruits and Vegetables,184.624,Small,Tier 2,Supermarket Type1,9
9.6,Non-Edible,0.006665667,Household,164.1184,Medium,Tier 3,Supermarket Type3,28
9.1,Non-Edible,0.134393836,Household,48.0718,Small,Tier 3,Grocery Store,15
9.1,Non-Edible,0.055514919,Household,112.5518,Medium,Tier 1,Supermarket Type1,14
10.395,Low Fat,0.054670967,Seafood,158.6604,Small,Tier 1,Grocery Store,28
16.7,Low Fat,0.022190488,Dairy,113.1886,Small,Tier 2,Supermarket Type1,6
6.13,Low Fat,0.076891526,Dairy,61.5536,Small,Tier 2,Supermarket Type1,11
14.15,Low Fat,0.035943717,Soft Drinks,40.5138,Small,Tier 1,Supermarket Type1,16
20.7,Low Fat,0.09261307,Dairy,76.367,High,Tier 3,Supermarket Type1,26
5.155,Low Fat,0.083198341,Frozen Foods,246.0776,Small,Tier 1,Supermarket Type1,16
15.35,Low Fat,0.096379585,Soft Drinks,196.5768,Small,Tier 2,Supermarket Type1,9
9.8,Regular,0.015087112,Meat,250.1408,Small,Tier 2,Supermarket Type1,9
10.695,Non-Edible,0.06375108,Household,36.7848,Small,Tier 2,Supermarket Type1,9
6.65,Low Fat,0.053372768,Canned,149.5734,Medium,Tier 1,Supermarket Type1,14
6.635,Regular,0.04586701,Frozen Foods,37.9506,Medium,Tier 3,Supermarket Type3,28
14.65,Non-Edible,0.08350871900000001,Household,161.5552,Small,Tier 3,Grocery Store,15
9.695,Regular,0.029023048,Canned,177.837,Medium,Tier 3,Supermarket Type3,28
5.26,Regular,0.041837331,Baking Goods,161.8868,Medium,Tier 1,Supermarket Type1,14
12.15,Low Fat,0.030815427,Frozen Foods,252.0698,Small,Tier 3,Grocery Store,15
12.6,Regular,0.072762086,Fruits and Vegetables,120.9072,Small,Tier 1,Grocery Store,28
18.25,Low Fat,0.132596101,Frozen Foods,226.2062,Small,Tier 3,Grocery Store,15
7.905,Low Fat,0.054986919,Frozen Foods,109.1254,Small,Tier 2,Supermarket Type1,6
15.25,Non-Edible,0.061434045,Household,130.9968,Medium,Tier 3,Supermarket Type2,4
7.075,Low Fat,0.058676973,Dairy,142.0128,Small,Tier 2,Supermarket Type1,6
11.8,Regular,0.057373797,Meat,151.4366,High,Tier 3,Supermarket Type1,26
9.1,Low Fat,0.173973652,Baking Goods,126.5362,High,Tier 3,Supermarket Type1,26
7.05,Regular,0.05587277,Breads,222.1088,Small,Tier 2,Supermarket Type1,6
15.2,Low Fat,0.019064377,Snack Foods,238.2248,Medium,Tier 1,Supermarket Type1,14
5.82,Non-Edible,0.080640478,Household,167.779,Small,Tier 1,Supermarket Type1,16
8.39,Non-Edible,0.120474481,Household,165.5868,Small,Tier 2,Supermarket Type1,9
8.575,Regular,0.071958197,Dairy,195.3794,Medium,Tier 1,Supermarket Type1,14
16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,Medium,Tier 3,Supermarket Type2,4
20.2,Non-Edible,0.100114941,Household,187.1898,High,Tier 3,Supermarket Type1,26
7.75,Low Fat,0.043238822,Baking Goods,92.5436,Small,Tier 1,Supermarket Type1,16
5.325,Regular,0.139244918,Dairy,55.8298,Small,Tier 2,Supermarket Type1,9
5.365,Regular,0.13956116,Seafood,170.4764,Medium,Tier 3,Supermarket Type3,28
15.6,Low Fat,0.081562686,Baking Goods,112.7544,Small,Tier 2,Supermarket Type1,6
12.15,Low Fat,0.015385857,Frozen Foods,208.9928,Medium,Tier 3,Supermarket Type3,28
11.8,Regular,0.025966531,Meat,102.4674,Small,Tier 3,Grocery Store,15
12.65,Regular,0.076474728,Frozen Foods,191.8846,Small,Tier 2,Supermarket Type1,6
18.6,Non-Edible,0.118661426,Others,58.7588,Medium,Tier 3,Supermarket Type2,4
15.0,Low Fat,0.058346234,Snack Foods,44.0744,High,Tier 3,Supermarket Type1,26
16.6,Non-Edible,0.028382853,Health and Hygiene,109.4596,Small,Tier 1,Grocery Store,28
20.6,Low Fat,0.023585598,Fruits and Vegetables,94.7778,Small,Tier 2,Supermarket Type1,6
14.15,Non-Edible,0.008829806,Household,197.111,Medium,Tier 1,Supermarket Type1,14
6.17,Low Fat,0.010630949,Meat,65.9826,Small,Tier 1,Supermarket Type1,16
13.1,Regular,0.043978369,Fruits and Vegetables,178.4318,Medium,Tier 3,Supermarket Type3,28
12.3,Low Fat,0.009463757,Baking Goods,73.838,Small,Tier 2,Supermarket Type1,6
9.065,Low Fat,0.115233813,Frozen Foods,94.4094,High,Tier 3,Supermarket Type1,26
5.405,Regular,0.05336162,Canned,200.1742,Medium,Tier 3,Supermarket Type3,28
20.2,Non-Edible,0.074177667,Household,93.2462,High,Tier 3,Supermarket Type1,26
4.59,Low Fat,0.070780558,Soft Drinks,114.586,Small,Tier 1,Supermarket Type1,16
6.11,Regular,0.103080901,Fruits and Vegetables,131.2968,Small,Tier 3,Grocery Store,15
13.65,Regular,0.026643448,Meat,37.9532,Medium,Tier 1,Supermarket Type1,14
11.15,Regular,0.008326735,Dairy,149.9708,Small,Tier 2,Supermarket Type1,6
17.35,Regular,0.146527359,Seafood,147.905,Medium,Tier 1,Supermarket Type1,14
12.5,Low Fat,0.020697723,Breads,198.8742,Small,Tier 1,Supermarket Type1,16
18.35,Non-Edible,0.030556922,Health and Hygiene,190.6162,Small,Tier 2,Supermarket Type1,11
16.7,Regular,0.117026714,Baking Goods,189.2214,Small,Tier 3,Grocery Store,15
6.095,Non-Edible,0.08152738,Others,140.3154,Medium,Tier 3,Supermarket Type2,4
6.76,Regular,0.028982682,Fruits and Vegetables,79.596,Small,Tier 1,Supermarket Type1,16
13.5,Regular,0.159587755,Fruits and Vegetables,145.3102,High,Tier 3,Supermarket Type1,26
8.39,Non-Edible,0.121178848,Household,165.1868,Small,Tier 2,Supermarket Type1,6
14.65,Non-Edible,0.083698962,Household,163.4552,Medium,Tier 3,Supermarket Type2,4
5.51,Non-Edible,0.034668802,Health and Hygiene,98.5726,Small,Tier 2,Supermarket Type1,6
16.35,Non-Edible,0.090562192,Household,198.211,Small,Tier 1,Supermarket Type1,16
13.8,Regular,0.056825065,Snack Foods,230.9984,High,Tier 3,Supermarket Type1,26
20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306,Medium,Tier 1,Supermarket Type1,14
20.25,Regular,0.102704495,Canned,94.312,Small,Tier 2,Supermarket Type1,9
20.75,Non-Edible,0.025169703,Health and Hygiene,150.4734,Medium,Tier 1,Supermarket Type1,14
16.2,Regular,0.016650191,Frozen Foods,97.4726,Small,Tier 2,Supermarket Type1,9
10.695,Regular,0.086764795,Snack Foods,156.7972,Small,Tier 2,Supermarket Type1,9
18.6,Low Fat,0.015858893,Snack Foods,152.9366,Small,Tier 2,Supermarket Type1,6
6.425,Low Fat,0.018275994,Canned,115.2808,Small,Tier 1,Grocery Store,28
6.92,Low Fat,0.038454076,Dairy,61.5852,Small,Tier 1,Supermarket Type1,16
7.47,Regular,0.153011599,Frozen Foods,215.2218,Small,Tier 2,Supermarket Type1,6
9.3,Regular,0.033489979,Meat,156.6314,Medium,Tier 1,Supermarket Type1,14
12.65,Regular,0.127283051,Frozen Foods,191.7846,Small,Tier 3,Grocery Store,15
19.7,Low Fat,0.113669629,Canned,89.0198,Small,Tier 1,Grocery Store,28
17.85,Low Fat,0.02492239,Soft Drinks,153.4998,Medium,Tier 3,Supermarket Type2,4
15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,Small,Tier 2,Supermarket Type1,6
13.65,Regular,0.0127504945,Snack Foods,58.7588,Small,Tier 1,Grocery Store,28
11.3,Regular,0.054637635,Meat,93.3094,Medium,Tier 1,Supermarket Type1,14
12.15,Low Fat,0.018485511,Frozen Foods,253.1698,Medium,Tier 3,Supermarket Type2,4
16.2,Low Fat,0.044472637,Frozen Foods,43.3454,Small,Tier 2,Supermarket Type1,6
7.81,Regular,0.055451725,Canned,122.6046,Medium,Tier 3,Supermarket Type2,4
5.175,Regular,0.051643608,Snack Foods,107.3622,Small,Tier 1,Grocery Store,28
17.6,Low Fat,0.041851756,Soft Drinks,162.7526,Small,Tier 2,Supermarket Type1,6
18.5,Regular,0.045463773,Dairy,144.2102,Small,Tier 2,Supermarket Type1,9
5.88,Low Fat,0.003606726,Hard Drinks,154.1998,Medium,Tier 3,Supermarket Type2,4
5.405,Regular,0.093883945,Canned,200.4742,Small,Tier 1,Grocery Store,28
6.55,Low Fat,0.024521191,Breads,100.6332,Small,Tier 2,Supermarket Type1,9
6.305,Regular,0.123115764,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,16
5.03,Non-Edible,0.008644894,Household,122.6756,Small,Tier 2,Supermarket Type1,9
19.0,Regular,0.097313129,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,16
18.0,Low Fat,0.038978526,Snack Foods,148.6418,High,Tier 3,Supermarket Type1,26
20.5,Low Fat,0.036344721,Fruits and Vegetables,122.3756,Small,Tier 2,Supermarket Type1,6
7.485,Low Fat,0.069514712,Snack Foods,108.7228,Small,Tier 2,Supermarket Type1,6
16.1,Regular,0.047801883,Frozen Foods,127.4362,Small,Tier 1,Supermarket Type1,16
11.65,Regular,0.076002991,Snack Foods,83.4908,Small,Tier 2,Supermarket Type1,11
12.6,Low Fat,0.056394771,Seafood,51.3982,Small,Tier 2,Supermarket Type1,6
8.52,Low Fat,0.027114238,Soft Drinks,151.9682,Small,Tier 2,Supermarket Type1,11
6.67,Regular,0.12332588,Snack Foods,90.2514,High,Tier 3,Supermarket Type1,26
9.035,Regular,0.174450933,Meat,151.0708,Small,Tier 2,Supermarket Type1,6
9.8,Low Fat,0.02316823,Soft Drinks,47.506,Small,Tier 3,Grocery Store,15
10.85,Low Fat,0.162107603,Snack Foods,106.3622,High,Tier 3,Supermarket Type1,26
6.89,Regular,0.136984147,Snack Foods,192.682,Medium,Tier 3,Supermarket Type2,4
13.15,Non-Edible,0.024651269,Household,179.5686,Small,Tier 1,Supermarket Type1,16
9.8,Low Fat,0.026192765,Snack Foods,215.685,Medium,Tier 3,Supermarket Type2,4
15.6,Regular,0.098663652,Dairy,62.9194,Medium,Tier 3,Supermarket Type3,28
12.6,Regular,0.031598706,Baking Goods,172.9764,Small,Tier 2,Supermarket Type1,11
13.65,Regular,0.031573246,Canned,99.47,Medium,Tier 3,Supermarket Type2,4
16.7,Regular,0.052493162,Frozen Foods,113.9176,Medium,Tier 1,Supermarket Type1,14
5.785,Regular,0.04016342,Snack Foods,181.166,Medium,Tier 3,Supermarket Type3,28
17.85,Non-Edible,0.01806055,Health and Hygiene,97.0094,Small,Tier 2,Supermarket Type1,11
6.764999999999999,Regular,0.086837543,Frozen Foods,106.2306,Medium,Tier 3,Supermarket Type3,28
16.5,Non-Edible,0.012689327,Health and Hygiene,39.7506,Medium,Tier 3,Supermarket Type2,4
4.615,Regular,0.102407778,Canned,234.33,Small,Tier 2,Supermarket Type1,6
10.65,Regular,0.085617517,Snack Foods,229.3668,Small,Tier 2,Supermarket Type1,6
12.8,Low Fat,0.069902438,Starchy Foods,261.3252,Medium,Tier 3,Supermarket Type2,4
16.75,Non-Edible,0.075889215,Health and Hygiene,37.6532,Small,Tier 2,Supermarket Type1,11
12.15,Low Fat,0.021757269,Breads,165.0184,Medium,Tier 1,Supermarket Type1,14
5.5,Non-Edible,0.047059016,Others,100.1016,High,Tier 3,Supermarket Type1,26
4.61,Low Fat,0.123151947,Hard Drinks,175.2396,Medium,Tier 3,Supermarket Type2,4
7.42,Regular,0.025616191,Snack Foods,188.1872,Medium,Tier 3,Supermarket Type3,28
8.575,Low Fat,0.023866079,Soft Drinks,107.128,High,Tier 3,Supermarket Type1,26
18.75,Non-Edible,0.010381661,Household,207.8954,Medium,Tier 1,Supermarket Type1,14
8.985,Low Fat,0.184440421,Fruits and Vegetables,99.67,Small,Tier 2,Supermarket Type1,6
7.435,Low Fat,0.123338082,Starchy Foods,206.1638,Medium,Tier 3,Supermarket Type2,4
17.25,Regular,0.159165324,Fruits and Vegetables,63.4194,Small,Tier 2,Supermarket Type1,9
10.8,Low Fat,0.138171603,Dairy,191.4504,Small,Tier 3,Grocery Store,15
17.7,Non-Edible,0.020993364,Household,166.8474,Small,Tier 3,Grocery Store,15
20.7,Low Fat,0.09272369150000001,Dairy,78.467,Small,Tier 1,Supermarket Type1,16
16.5,Regular,0.159720671,Snack Foods,144.5128,Small,Tier 1,Supermarket Type1,16
16.75,Low Fat,0.081485126,Fruits and Vegetables,258.0988,Small,Tier 2,Supermarket Type1,11
6.115,Regular,0.011419301,Frozen Foods,91.0488,Medium,Tier 3,Supermarket Type2,4
18.85,Low Fat,0.137410256,Hard Drinks,161.7578,Medium,Tier 1,Supermarket Type1,14
20.35,Regular,0.151044881,Meat,81.6276,Small,Tier 1,Supermarket Type1,16
7.945,Low Fat,0.015863075,Snack Foods,161.821,High,Tier 3,Supermarket Type1,26
13.65,Low Fat,0.065576228,Frozen Foods,47.7402,High,Tier 3,Supermarket Type1,26
8.365,Low Fat,0.071992202,Hard Drinks,38.3506,Small,Tier 2,Supermarket Type1,11
11.1,Low Fat,0.236616754,Snack Foods,217.6482,Small,Tier 1,Grocery Store,28
18.85,Low Fat,0.055671582,Baking Goods,133.3284,Small,Tier 2,Supermarket Type1,6
6.8,Low Fat,0.03749705,Baking Goods,49.9034,Small,Tier 1,Supermarket Type1,16
20.35,Non-Edible,0.039428167,Household,127.9678,Medium,Tier 3,Supermarket Type2,4
10.5,Non-Edible,0.011285795,Household,235.8248,Small,Tier 2,Supermarket Type1,9
13.0,Non-Edible,0.041789718,Household,256.1014,High,Tier 3,Supermarket Type1,26
7.905,Low Fat,0.010003987,Snack Foods,250.7408,High,Tier 3,Supermarket Type1,26
4.785,Low Fat,0.0931174,Breads,118.6098,Small,Tier 2,Supermarket Type1,6
11.8,Non-Edible,0.008519718,Health and Hygiene,116.9492,Medium,Tier 3,Supermarket Type3,28
18.0,Low Fat,0.017979145,Starchy Foods,178.3686,Medium,Tier 3,Supermarket Type2,4
13.15,Low Fat,0.020698674,Breads,86.3566,High,Tier 3,Supermarket Type1,26
12.800000000000002,Non-Edible,0.159394437,Others,105.6938,Small,Tier 1,Grocery Store,28
11.6,Regular,0.079376029,Frozen Foods,81.7276,Small,Tier 2,Supermarket Type1,6
15.2,Non-Edible,0.162462044,Health and Hygiene,117.6492,Small,Tier 3,Grocery Store,15
8.05,Regular,0.078522357,Fruits and Vegetables,257.5646,High,Tier 3,Supermarket Type1,26
14.15,Regular,0.024503972,Fruits and Vegetables,195.111,Medium,Tier 3,Supermarket Type2,4
5.825,Non-Edible,0.091042211,Household,162.6894,Medium,Tier 3,Supermarket Type3,28
12.35,Regular,0.064441812,Fruits and Vegetables,110.957,Small,Tier 3,Grocery Store,15
8.785,Low Fat,0.020618957,Soft Drinks,153.0656,Small,Tier 2,Supermarket Type1,11
8.1,Regular,0.134532392,Canned,39.448,Medium,Tier 1,Supermarket Type1,14
5.465,Regular,0.048486801,Baking Goods,131.2626,High,Tier 3,Supermarket Type1,26
16.7,Regular,0.038528228,Snack Foods,143.9102,Small,Tier 1,Supermarket Type1,16
11.15,Regular,0.086281593,Snack Foods,170.579,Medium,Tier 3,Supermarket Type2,4
6.11,Regular,0.151925271,Soft Drinks,46.6086,Small,Tier 2,Supermarket Type1,9
16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,26
6.135,Regular,0.07931986699999999,Baking Goods,151.3366,Small,Tier 2,Supermarket Type1,11
20.35,Low Fat,0.054056927,Snack Foods,116.8466,Small,Tier 1,Supermarket Type1,16
19.2,Non-Edible,0.18293775,Others,243.0196,Medium,Tier 1,Supermarket Type1,14
7.855,Low Fat,0.019716846,Canned,191.9188,Small,Tier 1,Grocery Store,28
20.7,Non-Edible,0.026769592,Household,77.0354,Medium,Tier 3,Supermarket Type3,28
16.2,Non-Edible,0.175898114,Health and Hygiene,182.1608,Medium,Tier 1,Supermarket Type1,14
7.93,Low Fat,0.005557062,Frozen Foods,122.1414,Medium,Tier 1,Supermarket Type1,14
10.8,Low Fat,0.164724567,Meat,98.4042,Small,Tier 3,Grocery Store,15
20.7,Regular,0.12152072,Frozen Foods,118.0466,Small,Tier 1,Supermarket Type1,16
19.7,Regular,0.01612717,Canned,189.3556,Medium,Tier 3,Supermarket Type3,28
18.7,Non-Edible,0.046079558,Health and Hygiene,151.5682,Small,Tier 2,Supermarket Type1,9
18.2,Low Fat,0.082551042,Fruits and Vegetables,147.3734,Small,Tier 3,Grocery Store,15
11.8,Regular,0.076705948,Snack Foods,34.7558,Small,Tier 2,Supermarket Type1,9
5.365,Regular,0.140811559,Seafood,173.5764,Medium,Tier 3,Supermarket Type2,4
9.195,Regular,0.130657442,Meat,106.4596,Small,Tier 3,Grocery Store,15
14.85,Regular,0.05357685,Baking Goods,122.2072,Medium,Tier 3,Supermarket Type3,28
