Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Years,Item_Outlet_Sales
12.35,Low Fat,0.026832182,Canned,57.3246,Small,Tier 2,Supermarket Type1,6,1332.2658
16.75,Non-Edible,0.032652796,Health and Hygiene,190.8162,Small,Tier 2,Supermarket Type1,11,2886.243
5.11,Non-Edible,0.034874689,Household,161.721,Small,Tier 1,Supermarket Type1,16,2446.815
15.1,Non-Edible,0.055793586,Household,139.7496,High,Tier 3,Supermarket Type1,26,3952.1888
15.75,Non-Edible,0.134418705,Household,99.67,Medium,Tier 3,Supermarket Type3,28,2596.62
8.5,Low Fat,0.098083231,Canned,50.3324,Small,Tier 2,Supermarket Type1,11,675.1212
10.0,Regular,0.063121982,Frozen Foods,231.7668,High,Tier 3,Supermarket Type1,26,460.7336
16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,Small,Tier 2,Supermarket Type1,9,1911.5118
14.6,Regular,0.043133816,Fruits and Vegetables,109.7254,Medium,Tier 3,Supermarket Type2,4,651.1524
19.1,Low Fat,0.075836522,Dairy,40.2138,Small,Tier 3,Grocery Store,15,81.2276
14.8,Non-Edible,0.019476708,Health and Hygiene,193.0794,Small,Tier 2,Supermarket Type1,9,3901.588
20.85,Low Fat,0.121227447,Snack Foods,197.5452,Small,Tier 2,Supermarket Type1,9,4306.3944
16.0,Regular,0.099188598,Frozen Foods,88.9856,High,Tier 3,Supermarket Type1,26,1669.8264
11.5,Low Fat,0.045900448,Snack Foods,118.9124,Medium,Tier 3,Supermarket Type3,28,2844.2976
12.3,Low Fat,0.111500259,Baking Goods,37.2874,High,Tier 3,Supermarket Type1,26,705.748
15.7,Regular,0.11521312,Canned,112.0202,Small,Tier 2,Supermarket Type1,6,3150.5656
7.81,Regular,0.055226755,Canned,123.1046,Small,Tier 1,Supermarket Type1,16,871.5322
8.38,Regular,0.046960237,Baking Goods,111.857,Medium,Tier 1,Supermarket Type1,14,2966.139
14.0,Non-Edible,0.028980533,Health and Hygiene,129.531,Medium,Tier 3,Supermarket Type2,4,2077.296
15.5,Regular,0.086184647,Frozen Foods,50.9692,Medium,Tier 3,Supermarket Type2,4,394.1536
8.395,Low Fat,0.072383777,Hard Drinks,251.504,Small,Tier 2,Supermarket Type1,6,7084.112
7.85,Low Fat,0.162980276,Hard Drinks,145.2444,Small,Tier 1,Supermarket Type1,16,1451.444
13.15,Low Fat,0.020715913,Breads,83.5566,Small,Tier 1,Supermarket Type1,16,1268.349
10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,Small,Tier 2,Supermarket Type1,6,4250.4672
15.7,Non-Edible,0.160663021,Household,59.4562,Small,Tier 1,Supermarket Type1,16,829.5868
11.8,Regular,0.014115626,Frozen Foods,178.5344,Small,Tier 2,Supermarket Type1,11,3390.2536
14.65,Regular,0.099113429,Snack Foods,52.8666,Small,Tier 2,Supermarket Type1,9,461.3994
18.0,Low Fat,0.039231652,Snack Foods,145.1418,Small,Tier 2,Supermarket Type1,6,2648.5524
20.25,Regular,0.022936488,Baking Goods,240.8538,Small,Tier 2,Supermarket Type1,9,7931.6754
10.3,Regular,0.058918844,Fruits and Vegetables,189.053,Small,Tier 2,Supermarket Type1,11,5313.084
5.365,Regular,0.234733477,Seafood,173.4764,Small,Tier 3,Grocery Store,15,171.7764
7.825,Regular,0.149890395,Frozen Foods,159.0288,High,Tier 3,Supermarket Type1,26,1257.0304
8.27,Regular,0.214125129,Soft Drinks,183.9924,Small,Tier 3,Grocery Store,15,185.0924
14.85,Low Fat,0.15643727,Baking Goods,142.0812,Small,Tier 3,Grocery Store,15,284.9624
12.5,Low Fat,0.031097948,Fruits and Vegetables,103.899,Medium,Tier 1,Supermarket Type1,14,1960.781
5.425,Regular,0.2004264,Baking Goods,88.8514,Small,Tier 1,Grocery Store,28,265.6542
15.85,Regular,0.110254143,Frozen Foods,37.0506,Medium,Tier 3,Supermarket Type3,28,986.7156
9.6,Regular,0.02734361,Snack Foods,257.8304,Small,Tier 1,Supermarket Type1,16,1808.3128
4.61,Low Fat,0.123346085,Hard Drinks,172.5396,Small,Tier 2,Supermarket Type1,6,3663.2316
20.25,Non-Edible,0.014237039,Household,145.6418,High,Tier 3,Supermarket Type1,26,3384.2614
17.75,Low Fat,0.058168807,Dairy,249.575,Small,Tier 3,Grocery Store,15,499.35
9.0,Low Fat,0.08630486,Snack Foods,168.0816,Medium,Tier 3,Supermarket Type2,4,2181.1608
6.15,Low Fat,0.0463069195,Baking Goods,100.1384,Medium,Tier 3,Supermarket Type3,28,2956.152
20.5,Regular,0.112316501,Fruits and Vegetables,193.9478,High,Tier 3,Supermarket Type1,26,4456.1994
17.7,Regular,0.23653561,Starchy Foods,184.1924,Small,Tier 1,Grocery Store,28,185.0924
15.0,Regular,0.026950104,Baking Goods,220.9456,Medium,Tier 3,Supermarket Type2,4,1768.3648
5.175,Low Fat,0.037457098,Canned,83.4224,Medium,Tier 1,Supermarket Type1,14,1448.7808
15.15,Regular,0.066311153,Frozen Foods,145.776,Small,Tier 2,Supermarket Type1,11,3954.852
10.895,Low Fat,0.059834024,Fruits and Vegetables,133.5284,Small,Tier 3,Grocery Store,15,263.6568
6.13,Low Fat,0.076855207,Dairy,59.3536,Medium,Tier 1,Supermarket Type1,14,1470.0864
10.8,Low Fat,0.0781195325,Hard Drinks,72.338,Medium,Tier 1,Supermarket Type1,14,805.618
5.155,Low Fat,0.08279545,Frozen Foods,245.8776,Medium,Tier 3,Supermarket Type3,28,4705.8744
17.6,Regular,0.039381633,Snack Foods,98.041,Medium,Tier 3,Supermarket Type2,4,675.787
7.935,Low Fat,0.017141985,Dairy,50.035,High,Tier 3,Supermarket Type1,26,149.805
13.6,Non-Edible,0.010033871,Household,177.937,Medium,Tier 3,Supermarket Type2,4,2293.681
8.26,Regular,0.032435437,Soft Drinks,124.873,Small,Tier 2,Supermarket Type1,9,2956.152
6.26,Non-Edible,0.031599715,Household,111.3228,Small,Tier 2,Supermarket Type1,6,2431.5016
20.75,Low Fat,0.108879177,Snack Foods,161.5578,Medium,Tier 1,Supermarket Type1,14,320.9156
8.18,Non-Edible,0.013156774,Household,140.5154,Small,Tier 2,Supermarket Type1,11,1701.7848
10.195,Low Fat,0.042113173,Snack Foods,42.5428,Medium,Tier 3,Supermarket Type2,4,878.856
15.6,Regular,0.104786172,Snack Foods,172.2764,Medium,Tier 3,Supermarket Type3,28,1545.9876
7.67,Non-Edible,0.309390255,Household,33.2216,Small,Tier 3,Grocery Store,15,138.4864
11.65,Low Fat,0.174049032,Dairy,52.9298,Small,Tier 1,Supermarket Type1,16,647.1576
13.1,Regular,0.098765906,Frozen Foods,196.3768,Small,Tier 2,Supermarket Type1,9,2167.8448
19.1,Non-Edible,0.067676056,Household,40.8796,Small,Tier 2,Supermarket Type1,6,371.5164
16.75,Low Fat,0.060495243,Dairy,169.8106,High,Tier 3,Supermarket Type1,26,3251.1014
6.675,Low Fat,0.0419174985,Snack Foods,92.9462,Medium,Tier 3,Supermarket Type2,4,1018.0082
9.3,Regular,0.03362713,Meat,156.1314,Small,Tier 2,Supermarket Type1,6,620.5256
16.25,Low Fat,0.07813621400000001,Canned,90.2804,Medium,Tier 3,Supermarket Type2,4,1653.8472
6.65,Low Fat,0.053397989,Canned,149.3734,Small,Tier 2,Supermarket Type1,11,296.9468
5.94,Regular,0.049163321,Breads,186.4556,Small,Tier 3,Grocery Store,15,563.2668
20.0,Regular,0.104245198,Canned,105.3622,Medium,Tier 1,Supermarket Type1,14,1270.3464
13.1,Regular,0.044281996,Fruits and Vegetables,178.5318,Small,Tier 2,Supermarket Type1,11,3067.3406
5.695,Regular,0.067373081,Breads,258.8988,Medium,Tier 3,Supermarket Type3,28,3083.9856
15.6,Low Fat,0.087646694,Snack Foods,221.5798,High,Tier 3,Supermarket Type1,26,5509.495
17.6,Low Fat,0.010096684,Snack Foods,160.4552,Small,Tier 2,Supermarket Type1,6,2599.2832
11.0,Regular,0.13341564,Canned,218.7798,Small,Tier 2,Supermarket Type1,11,2203.798
20.25,Regular,0.018789455,Fruits and Vegetables,222.0772,High,Tier 3,Supermarket Type1,26,3113.2808
6.635,Regular,0.080697998,Frozen Foods,39.8506,Small,Tier 1,Grocery Store,28,37.9506
10.395,Regular,0.036957777,Meat,230.5352,Small,Tier 2,Supermarket Type1,11,4580.704
7.365,Low Fat,0.042552205,Fruits and Vegetables,225.172,Small,Tier 2,Supermarket Type1,9,3395.58
18.85,Low Fat,0.039723999,Snack Foods,41.048,Small,Tier 2,Supermarket Type1,11,918.804
16.2,Low Fat,0.058444176,Soft Drinks,73.0696,Small,Tier 1,Grocery Store,28,223.7088
9.6,Low Fat,0.036109413,Fruits and Vegetables,140.6154,Medium,Tier 3,Supermarket Type3,28,4538.0928
15.1,Regular,0.019965179,Frozen Foods,130.531,Medium,Tier 1,Supermarket Type1,14,908.817
20.2,Regular,0.121442754,Snack Foods,94.9752,Medium,Tier 1,Supermarket Type1,14,1342.2528
10.695,Regular,0.127727102,Dairy,121.144,Small,Tier 1,Supermarket Type1,16,1917.504
12.35,Non-Edible,0.163941937,Household,117.0124,Small,Tier 1,Supermarket Type1,16,1540.6612
11.35,Low Fat,0.030957011,Snack Foods,52.4008,Small,Tier 2,Supermarket Type1,9,809.6128
17.0,Low Fat,0.136008489,Fruits and Vegetables,171.7106,Small,Tier 2,Supermarket Type1,11,1711.106
7.05,Low Fat,0.084966021,Snack Foods,111.1912,Small,Tier 1,Supermarket Type1,16,1965.4416
9.695,Low Fat,0.070843019,Hard Drinks,177.7344,Small,Tier 2,Supermarket Type1,6,1605.9096
6.78,Low Fat,0.066608487,Fruits and Vegetables,184.624,Small,Tier 2,Supermarket Type1,9,5406.296
9.6,Non-Edible,0.006665667,Household,164.1184,Medium,Tier 3,Supermarket Type3,28,3797.7232
9.1,Non-Edible,0.134393836,Household,48.0718,Small,Tier 3,Grocery Store,15,47.2718
9.1,Non-Edible,0.055514919,Household,112.5518,Medium,Tier 1,Supermarket Type1,14,341.5554
10.395,Low Fat,0.054670967,Seafood,158.6604,Small,Tier 1,Grocery Store,28,316.9208
16.7,Low Fat,0.022190488,Dairy,113.1886,Small,Tier 2,Supermarket Type1,6,3335.658
6.13,Low Fat,0.076891526,Dairy,61.5536,Small,Tier 2,Supermarket Type1,11,796.2968
14.15,Low Fat,0.035943717,Soft Drinks,40.5138,Small,Tier 1,Supermarket Type1,16,446.7518
20.7,Low Fat,0.09261307,Dairy,76.367,High,Tier 3,Supermarket Type1,26,306.268
5.155,Low Fat,0.083198341,Frozen Foods,246.0776,Small,Tier 1,Supermarket Type1,16,990.7104
15.35,Low Fat,0.096379585,Soft Drinks,196.5768,Small,Tier 2,Supermarket Type1,9,4729.8432
9.8,Regular,0.015087112,Meat,250.1408,Small,Tier 2,Supermarket Type1,9,4005.4528
10.695,Non-Edible,0.06375108,Household,36.7848,Small,Tier 2,Supermarket Type1,9,782.9808
6.65,Low Fat,0.053372768,Canned,149.5734,Medium,Tier 1,Supermarket Type1,14,2524.0478
6.635,Regular,0.04586701,Frozen Foods,37.9506,Medium,Tier 3,Supermarket Type3,28,910.8144
14.65,Non-Edible,0.08350871900000001,Household,161.5552,Small,Tier 3,Grocery Store,15,324.9104
9.695,Regular,0.029023048,Canned,177.837,Medium,Tier 3,Supermarket Type3,28,6704.606
5.26,Regular,0.041837331,Baking Goods,161.8868,Medium,Tier 1,Supermarket Type1,14,5077.3908
12.15,Low Fat,0.030815427,Frozen Foods,252.0698,Small,Tier 3,Grocery Store,15,1014.6792
12.6,Regular,0.072762086,Fruits and Vegetables,120.9072,Small,Tier 1,Grocery Store,28,122.5072
18.25,Low Fat,0.132596101,Frozen Foods,226.2062,Small,Tier 3,Grocery Store,15,677.1186
7.905,Low Fat,0.054986919,Frozen Foods,109.1254,Small,Tier 2,Supermarket Type1,6,1627.881
15.25,Non-Edible,0.061434045,Household,130.9968,Medium,Tier 3,Supermarket Type2,4,2348.9424
7.075,Low Fat,0.058676973,Dairy,142.0128,Small,Tier 2,Supermarket Type1,6,2588.6304
11.8,Regular,0.057373797,Meat,151.4366,High,Tier 3,Supermarket Type1,26,1360.2294
9.1,Low Fat,0.173973652,Baking Goods,126.5362,High,Tier 3,Supermarket Type1,26,1761.7068
7.05,Regular,0.05587277,Breads,222.1088,Small,Tier 2,Supermarket Type1,6,4026.7584
15.2,Low Fat,0.019064377,Snack Foods,238.2248,Medium,Tier 1,Supermarket Type1,14,3555.372
5.82,Non-Edible,0.080640478,Household,167.779,Small,Tier 1,Supermarket Type1,16,2886.243
8.39,Non-Edible,0.120474481,Household,165.5868,Small,Tier 2,Supermarket Type1,9,1965.4416
8.575,Regular,0.071958197,Dairy,195.3794,Medium,Tier 1,Supermarket Type1,14,3511.4292
16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,Medium,Tier 3,Supermarket Type2,4,2342.9502
20.2,Non-Edible,0.100114941,Household,187.1898,High,Tier 3,Supermarket Type1,26,2993.4368
7.75,Low Fat,0.043238822,Baking Goods,92.5436,Small,Tier 1,Supermarket Type1,16,1701.7848
5.325,Regular,0.139244918,Dairy,55.8298,Small,Tier 2,Supermarket Type1,9,485.3682
5.365,Regular,0.13956116,Seafood,170.4764,Medium,Tier 3,Supermarket Type3,28,3435.528
15.6,Low Fat,0.081562686,Baking Goods,112.7544,Small,Tier 2,Supermarket Type1,6,1118.544
12.15,Low Fat,0.015385857,Frozen Foods,208.9928,Medium,Tier 3,Supermarket Type3,28,9678.0688
11.8,Regular,0.025966531,Meat,102.4674,Small,Tier 3,Grocery Store,15,203.7348
12.65,Regular,0.076474728,Frozen Foods,191.8846,Small,Tier 2,Supermarket Type1,6,1146.5076
18.6,Non-Edible,0.118661426,Others,58.7588,Medium,Tier 3,Supermarket Type2,4,858.882
15.0,Low Fat,0.058346234,Snack Foods,44.0744,High,Tier 3,Supermarket Type1,26,633.8416
16.6,Non-Edible,0.028382853,Health and Hygiene,109.4596,Small,Tier 1,Grocery Store,28,647.1576
20.6,Low Fat,0.023585598,Fruits and Vegetables,94.7778,Small,Tier 2,Supermarket Type1,6,1314.2892
14.15,Non-Edible,0.008829806,Household,197.111,Medium,Tier 1,Supermarket Type1,14,3731.809
6.17,Low Fat,0.010630949,Meat,65.9826,Small,Tier 1,Supermarket Type1,16,1162.4868
13.1,Regular,0.043978369,Fruits and Vegetables,178.4318,Medium,Tier 3,Supermarket Type3,28,2526.0452
12.3,Low Fat,0.009463757,Baking Goods,73.838,Small,Tier 2,Supermarket Type1,6,1245.046
9.065,Low Fat,0.115233813,Frozen Foods,94.4094,High,Tier 3,Supermarket Type1,26,2856.282
5.405,Regular,0.05336162,Canned,200.1742,Medium,Tier 3,Supermarket Type3,28,6171.3002
20.2,Non-Edible,0.074177667,Household,93.2462,High,Tier 3,Supermarket Type1,26,1018.0082
4.59,Low Fat,0.070780558,Soft Drinks,114.586,Small,Tier 1,Supermarket Type1,16,1245.046
6.11,Regular,0.103080901,Fruits and Vegetables,131.2968,Small,Tier 3,Grocery Store,15,260.9936
13.65,Regular,0.026643448,Meat,37.9532,Medium,Tier 1,Supermarket Type1,14,862.8768
11.15,Regular,0.008326735,Dairy,149.9708,Small,Tier 2,Supermarket Type1,6,1956.1204
17.35,Regular,0.146527359,Seafood,147.905,Medium,Tier 1,Supermarket Type1,14,2247.075
12.5,Low Fat,0.020697723,Breads,198.8742,Small,Tier 1,Supermarket Type1,16,5773.1518
18.35,Non-Edible,0.030556922,Health and Hygiene,190.6162,Small,Tier 2,Supermarket Type1,11,3271.0754
16.7,Regular,0.117026714,Baking Goods,189.2214,Small,Tier 3,Grocery Store,15,188.4214
6.095,Non-Edible,0.08152738,Others,140.3154,Medium,Tier 3,Supermarket Type2,4,1843.6002
6.76,Regular,0.028982682,Fruits and Vegetables,79.596,Small,Tier 1,Supermarket Type1,16,1438.128
13.5,Regular,0.159587755,Fruits and Vegetables,145.3102,High,Tier 3,Supermarket Type1,26,729.051
8.39,Non-Edible,0.121178848,Household,165.1868,Small,Tier 2,Supermarket Type1,6,2784.3756
14.65,Non-Edible,0.083698962,Household,163.4552,Medium,Tier 3,Supermarket Type2,4,2599.2832
5.51,Non-Edible,0.034668802,Health and Hygiene,98.5726,Small,Tier 2,Supermarket Type1,6,1761.7068
16.35,Non-Edible,0.090562192,Household,198.211,Small,Tier 1,Supermarket Type1,16,1964.11
13.8,Regular,0.056825065,Snack Foods,230.9984,High,Tier 3,Supermarket Type1,26,4633.968
20.85,Low Fat,0.021362955,Fruits and Vegetables,103.2306,Medium,Tier 1,Supermarket Type1,14,2404.2038
20.25,Regular,0.102704495,Canned,94.312,Small,Tier 2,Supermarket Type1,9,2982.784
20.75,Non-Edible,0.025169703,Health and Hygiene,150.4734,Medium,Tier 1,Supermarket Type1,14,1187.7872
16.2,Regular,0.016650191,Frozen Foods,97.4726,Small,Tier 2,Supermarket Type1,9,1174.4712
10.695,Regular,0.086764795,Snack Foods,156.7972,Small,Tier 2,Supermarket Type1,9,3427.5384
18.6,Low Fat,0.015858893,Snack Foods,152.9366,Small,Tier 2,Supermarket Type1,6,453.4098
6.425,Low Fat,0.018275994,Canned,115.2808,Small,Tier 1,Grocery Store,28,117.1808
6.92,Low Fat,0.038454076,Dairy,61.5852,Small,Tier 1,Supermarket Type1,16,813.6076
7.47,Regular,0.153011599,Frozen Foods,215.2218,Small,Tier 2,Supermarket Type1,6,3419.5488
9.3,Regular,0.033489979,Meat,156.6314,Medium,Tier 1,Supermarket Type1,14,1241.0512
12.65,Regular,0.127283051,Frozen Foods,191.7846,Small,Tier 3,Grocery Store,15,382.1692
19.7,Low Fat,0.113669629,Canned,89.0198,Small,Tier 1,Grocery Store,28,174.4396
17.85,Low Fat,0.02492239,Soft Drinks,153.4998,Medium,Tier 3,Supermarket Type2,4,2922.1962
15.7,Regular,0.01903743,Fruits and Vegetables,60.5536,Small,Tier 2,Supermarket Type1,6,490.0288
13.65,Regular,0.0127504945,Snack Foods,58.7588,Small,Tier 1,Grocery Store,28,400.8116
11.3,Regular,0.054637635,Meat,93.3094,Medium,Tier 1,Supermarket Type1,14,3046.7008
12.15,Low Fat,0.018485511,Frozen Foods,253.1698,Medium,Tier 3,Supermarket Type2,4,1522.0188
16.2,Low Fat,0.044472637,Frozen Foods,43.3454,Small,Tier 2,Supermarket Type1,6,922.7988
7.81,Regular,0.055451725,Canned,122.6046,Medium,Tier 3,Supermarket Type2,4,2365.5874
5.175,Regular,0.051643608,Snack Foods,107.3622,Small,Tier 1,Grocery Store,28,317.5866
17.6,Low Fat,0.041851756,Soft Drinks,162.7526,Small,Tier 2,Supermarket Type1,6,3124.5994
18.5,Regular,0.045463773,Dairy,144.2102,Small,Tier 2,Supermarket Type1,9,2041.3428
5.88,Low Fat,0.003606726,Hard Drinks,154.1998,Medium,Tier 3,Supermarket Type2,4,1384.1982
5.405,Regular,0.093883945,Canned,200.4742,Small,Tier 1,Grocery Store,28,398.1484
6.55,Low Fat,0.024521191,Breads,100.6332,Small,Tier 2,Supermarket Type1,9,2665.8632
6.305,Regular,0.123115764,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,16,661.8052
5.03,Non-Edible,0.008644894,Household,122.6756,Small,Tier 2,Supermarket Type1,9,2665.8632
19.0,Regular,0.097313129,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,16,992.7078
18.0,Low Fat,0.038978526,Snack Foods,148.6418,High,Tier 3,Supermarket Type1,26,2795.6942
20.5,Low Fat,0.036344721,Fruits and Vegetables,122.3756,Small,Tier 2,Supermarket Type1,6,2544.6876
7.485,Low Fat,0.069514712,Snack Foods,108.7228,Small,Tier 2,Supermarket Type1,6,1326.2736
16.1,Regular,0.047801883,Frozen Foods,127.4362,Small,Tier 1,Supermarket Type1,16,2265.0516
11.65,Regular,0.076002991,Snack Foods,83.4908,Small,Tier 2,Supermarket Type1,11,503.3448
12.6,Low Fat,0.056394771,Seafood,51.3982,Small,Tier 2,Supermarket Type1,6,473.3838
8.52,Low Fat,0.027114238,Soft Drinks,151.9682,Small,Tier 2,Supermarket Type1,11,1677.1502
6.67,Regular,0.12332588,Snack Foods,90.2514,High,Tier 3,Supermarket Type1,26,974.0654
9.035,Regular,0.174450933,Meat,151.0708,Small,Tier 2,Supermarket Type1,6,2708.4744
9.8,Low Fat,0.02316823,Soft Drinks,47.506,Small,Tier 3,Grocery Store,15,186.424
10.85,Low Fat,0.162107603,Snack Foods,106.3622,High,Tier 3,Supermarket Type1,26,2117.244
6.89,Regular,0.136984147,Snack Foods,192.682,Medium,Tier 3,Supermarket Type2,4,2703.148
13.15,Non-Edible,0.024651269,Household,179.5686,Small,Tier 1,Supermarket Type1,16,1422.1488
9.8,Low Fat,0.026192765,Snack Foods,215.685,Medium,Tier 3,Supermarket Type2,4,649.155
15.6,Regular,0.098663652,Dairy,62.9194,Medium,Tier 3,Supermarket Type3,28,2105.2596
12.6,Regular,0.031598706,Baking Goods,172.9764,Small,Tier 2,Supermarket Type1,11,2233.0932
13.65,Regular,0.031573246,Canned,99.47,Medium,Tier 3,Supermarket Type2,4,299.61
16.7,Regular,0.052493162,Frozen Foods,113.9176,Medium,Tier 1,Supermarket Type1,14,2519.3872
5.785,Regular,0.04016342,Snack Foods,181.166,Medium,Tier 3,Supermarket Type3,28,3415.554
17.85,Non-Edible,0.01806055,Health and Hygiene,97.0094,Small,Tier 2,Supermarket Type1,11,2094.6068
6.764999999999999,Regular,0.086837543,Frozen Foods,106.2306,Medium,Tier 3,Supermarket Type3,28,2090.612
16.5,Non-Edible,0.012689327,Health and Hygiene,39.7506,Medium,Tier 3,Supermarket Type2,4,227.7036
4.615,Regular,0.102407778,Canned,234.33,Small,Tier 2,Supermarket Type1,6,3961.51
10.65,Regular,0.085617517,Snack Foods,229.3668,Small,Tier 2,Supermarket Type1,6,2303.668
12.8,Low Fat,0.069902438,Starchy Foods,261.3252,Medium,Tier 3,Supermarket Type2,4,3410.2276
16.75,Non-Edible,0.075889215,Health and Hygiene,37.6532,Small,Tier 2,Supermarket Type1,11,575.2512
12.15,Low Fat,0.021757269,Breads,165.0184,Medium,Tier 1,Supermarket Type1,14,3302.368
5.5,Non-Edible,0.047059016,Others,100.1016,High,Tier 3,Supermarket Type1,26,2125.2336
4.61,Low Fat,0.123151947,Hard Drinks,175.2396,Medium,Tier 3,Supermarket Type2,4,2093.2752
7.42,Regular,0.025616191,Snack Foods,188.1872,Medium,Tier 3,Supermarket Type3,28,6239.8776
8.575,Low Fat,0.023866079,Soft Drinks,107.128,High,Tier 3,Supermarket Type1,26,958.752
18.75,Non-Edible,0.010381661,Household,207.8954,Medium,Tier 1,Supermarket Type1,14,2292.3494
8.985,Low Fat,0.184440421,Fruits and Vegetables,99.67,Small,Tier 2,Supermarket Type1,6,3295.71
7.435,Low Fat,0.123338082,Starchy Foods,206.1638,Medium,Tier 3,Supermarket Type2,4,1656.5104
17.25,Regular,0.159165324,Fruits and Vegetables,63.4194,Small,Tier 2,Supermarket Type1,9,1547.985
10.8,Low Fat,0.138171603,Dairy,191.4504,Small,Tier 3,Grocery Store,15,575.2512
17.7,Non-Edible,0.020993364,Household,166.8474,Small,Tier 3,Grocery Store,15,168.4474
20.7,Low Fat,0.09272369150000001,Dairy,78.467,Small,Tier 1,Supermarket Type1,16,1607.907
16.5,Regular,0.159720671,Snack Foods,144.5128,Small,Tier 1,Supermarket Type1,16,3595.32
16.75,Low Fat,0.081485126,Fruits and Vegetables,258.0988,Small,Tier 2,Supermarket Type1,11,8994.958
6.115,Regular,0.011419301,Frozen Foods,91.0488,Medium,Tier 3,Supermarket Type2,4,1629.8784
18.85,Low Fat,0.137410256,Hard Drinks,161.7578,Medium,Tier 1,Supermarket Type1,14,1604.578
20.35,Regular,0.151044881,Meat,81.6276,Small,Tier 1,Supermarket Type1,16,1787.0072
7.945,Low Fat,0.015863075,Snack Foods,161.821,High,Tier 3,Supermarket Type1,26,2446.815
13.65,Low Fat,0.065576228,Frozen Foods,47.7402,High,Tier 3,Supermarket Type1,26,643.1628
8.365,Low Fat,0.071992202,Hard Drinks,38.3506,Small,Tier 2,Supermarket Type1,11,986.7156
11.1,Low Fat,0.236616754,Snack Foods,217.6482,Small,Tier 1,Grocery Store,28,219.0482
18.85,Low Fat,0.055671582,Baking Goods,133.3284,Small,Tier 2,Supermarket Type1,6,263.6568
6.8,Low Fat,0.03749705,Baking Goods,49.9034,Small,Tier 1,Supermarket Type1,16,194.4136
20.35,Non-Edible,0.039428167,Household,127.9678,Medium,Tier 3,Supermarket Type2,4,3560.6984
10.5,Non-Edible,0.011285795,Household,235.8248,Small,Tier 2,Supermarket Type1,9,4266.4464
13.0,Non-Edible,0.041789718,Household,256.1014,High,Tier 3,Supermarket Type1,26,2550.014
7.905,Low Fat,0.010003987,Snack Foods,250.7408,High,Tier 3,Supermarket Type1,26,5757.8384
4.785,Low Fat,0.0931174,Breads,118.6098,Small,Tier 2,Supermarket Type1,6,361.5294
11.8,Non-Edible,0.008519718,Health and Hygiene,116.9492,Medium,Tier 3,Supermarket Type3,28,2780.3808
18.0,Low Fat,0.017979145,Starchy Foods,178.3686,Medium,Tier 3,Supermarket Type2,4,3199.8348
